date,open,close,high,low,vol,pct_chg
2025-11-06,7.59,7.59,7.63,7.51,156276.39,-0.26
2025-11-07,7.59,7.59,7.72,7.55,151527.98,0.0
2025-11-10,7.6,7.7,7.74,7.56,198516.0,1.45
2025-11-11,7.73,7.64,7.74,7.62,121871.27,-0.78
2025-11-12,7.67,7.7,7.8,7.66,183637.7,0.79
2025-11-13,7.6,7.71,7.75,7.53,179285.76,0.13
2025-11-14,7.67,7.79,7.84,7.66,186117.77,1.04
2025-11-17,7.76,7.76,7.84,7.62,160405.26,-0.39
2025-11-18,7.74,7.49,7.74,7.46,190770.6,-3.48
2025-11-19,7.48,7.44,7.53,7.39,115995.1,-0.67
2025-11-20,7.45,7.34,7.52,7.32,107798.46,-1.34
2025-11-21,7.29,6.95,7.34,6.95,176402.36,-5.31
2025-11-24,7.0,6.87,7.03,6.83,139794.85,-1.15
2025-11-25,6.92,6.89,6.95,6.87,98792.88,0.29
2025-11-26,6.91,6.83,6.93,6.81,120808.69,-0.87
2025-11-27,6.83,6.86,6.91,6.8,101157.0,0.44
2025-11-28,6.9,6.92,6.93,6.86,86332.0,0.87
2025-12-01,6.95,6.95,7.05,6.94,102560.0,0.43
2025-12-02,6.94,6.95,6.96,6.86,79949.01,0.0
2025-12-03,6.92,6.9,6.95,6.86,90293.62,-0.72
2025-12-04,6.89,6.88,6.93,6.82,69031.03,-0.29
2025-12-05,6.85,6.91,6.92,6.81,80773.12,0.44
2025-12-08,6.91,6.86,6.94,6.85,112241.0,-0.72
2025-12-09,6.84,6.69,6.86,6.68,139648.23,-2.48
2025-12-10,6.69,6.67,6.7,6.63,81402.0,-0.3
2025-12-11,6.69,6.62,6.7,6.6,87623.01,-0.75
2025-12-12,6.62,6.56,6.65,6.56,159180.48,-0.91
2025-12-15,6.55,6.6,6.61,6.51,88307.13,0.61
2025-12-16,6.59,6.46,6.59,6.44,92348.99,-2.12
2025-12-17,6.46,6.51,6.53,6.43,68819.52,0.77
2025-12-18,6.52,6.55,6.59,6.51,62271.91,0.61
2025-12-19,6.53,6.6,6.62,6.52,74181.87,0.76
2025-12-22,6.62,6.65,6.67,6.61,61266.87,0.76
2025-12-23,6.64,6.62,6.67,6.6,52428.0,-0.45
2025-12-24,6.63,6.65,6.66,6.58,60955.87,0.45
2025-12-25,6.65,6.65,6.67,6.63,46888.07,0.0
2025-12-26,6.66,6.65,6.69,6.63,68354.0,0.0
2025-12-29,6.64,6.65,6.74,6.61,74282.35,0.0
2025-12-30,6.65,6.61,6.68,6.55,73137.45,-0.6
2025-12-31,6.63,6.61,6.66,6.56,90336.0,0.0
2026-01-05,6.73,6.76,6.8,6.65,205536.39,2.27
2026-01-06,6.73,6.87,6.92,6.73,197311.89,1.63
2026-01-07,6.84,6.9,7.02,6.77,163618.5,0.44
2026-01-08,6.87,6.92,6.97,6.81,122340.24,0.29
2026-01-09,6.99,7.0,7.03,6.93,145088.01,1.16
2026-01-12,7.02,6.96,7.03,6.92,147537.7,-0.57
2026-01-13,6.95,7.08,7.19,6.95,240771.91,1.72
2026-01-14,7.08,7.09,7.28,7.04,246439.1,0.14
2026-01-15,7.03,7.04,7.09,6.98,115778.22,-0.71
2026-01-16,7.01,6.86,7.04,6.86,134408.0,-2.56
2026-01-19,6.86,6.99,7.0,6.85,105421.0,1.9
2026-01-20,7.13,7.24,7.44,7.13,308014.4,3.58
2026-01-21,7.2,7.36,7.43,7.2,278549.86,1.66
2026-01-22,7.5,8.1,8.1,7.5,217267.01,10.05
2026-01-23,8.1,7.95,8.27,7.9,689409.34,-1.85
2026-01-26,8.09,8.37,8.44,8.01,741531.81,5.28
2026-01-27,8.08,7.85,8.18,7.79,531483.87,-6.21
2026-01-28,7.96,8.22,8.39,7.92,685366.77,4.71
2026-01-29,8.27,8.72,8.98,8.1,858034.22,6.08
2026-01-30,8.58,8.17,8.95,8.05,701121.2,-6.31
2026-02-02,7.88,7.78,8.13,7.73,484190.65,-4.77
2026-02-03,7.73,7.75,7.78,7.6,377374.37,-0.39
2026-02-04,7.92,7.97,8.07,7.86,399013.82,2.84
2026-02-05,7.9,7.83,8.06,7.8,243581.51,-1.76
2026-02-06,7.66,7.99,8.09,7.66,287990.02,2.04
2026-02-09,8.02,7.81,8.07,7.77,247655.01,-2.25
2026-02-10,7.84,7.72,7.87,7.69,208112.38,-1.15
2026-02-11,7.7,8.03,8.17,7.64,384416.46,4.02
2026-02-12,8.0,8.01,8.19,7.95,225910.33,-0.25
2026-02-13,7.88,7.87,7.97,7.76,176119.31,-1.75
