date,open,close,high,low,vol,pct_chg
2025-12-17,7.03,7.22,7.23,6.82,117127,2.41
2025-12-18,7.33,7.22,7.44,7.18,111792,0.0
2025-12-19,7.28,7.2,7.28,7.13,77801,-0.28
2025-12-22,7.27,7.28,7.48,7.22,127161,1.11
2025-12-23,7.31,7.18,7.68,7.13,168731,-1.37
2025-12-24,7.15,7.16,7.2,7.01,81085,-0.28
2025-12-25,7.22,7.07,7.27,7.01,83675,-1.26
2025-12-26,7.1,7.01,7.12,6.96,82277,-0.85
2025-12-29,7.01,6.91,7.09,6.85,116676,-1.43
2025-12-30,6.9,6.81,6.98,6.8,98033,-1.45
2025-12-31,6.85,6.82,6.89,6.66,112626,0.15
2026-01-05,6.98,6.89,7.08,6.73,101473,1.03
2026-01-06,6.89,7.22,7.35,6.87,209214,4.79
2026-01-07,7.18,6.83,7.2,6.8,238765,-5.4
2026-01-08,6.84,6.78,6.88,6.66,159900,-0.73
2026-01-09,6.9,6.86,6.99,6.73,187290,1.18
2026-01-12,6.84,6.75,6.87,6.66,198127,-1.6
2026-01-13,6.75,6.78,7.05,6.75,191931,0.44
2026-01-14,6.73,6.68,6.9,6.66,244357,-1.47
2026-01-15,6.65,6.12,6.65,6.01,470029,-8.38
2026-01-16,6.12,6.0,6.2,5.94,271135,-1.96
2026-01-19,6.01,5.77,6.01,5.68,342111,-3.83
2026-01-20,5.77,5.75,5.93,5.7,225083,-0.35
2026-01-21,5.7,5.83,5.85,5.66,201822,1.39
2026-01-22,5.85,6.41,6.41,5.84,433540,9.95
2026-01-23,6.51,6.27,6.59,6.15,462757,-2.18
2026-01-26,6.36,6.28,6.42,6.18,289518,0.16
2026-01-27,6.24,6.16,6.26,6.0,218486,-1.91
2026-01-28,6.21,6.26,6.35,6.17,286745,1.62
2026-01-29,6.36,6.64,6.72,6.23,526519,6.07
2026-01-30,6.5,6.15,6.6,6.05,381005,-7.38
2026-02-02,6.0,6.07,6.24,5.88,223729,-1.3
2026-02-03,6.17,6.06,6.17,5.97,174857,-0.16
2026-02-04,6.09,6.09,6.2,6.04,171988,0.5
2026-02-05,6.03,6.05,6.18,6.0,133024,-0.66
2026-02-06,5.99,6.28,6.36,5.94,256471,3.8
2026-02-09,6.28,6.22,6.35,6.18,147644,-0.96
2026-02-10,6.33,6.26,6.43,6.23,163247,0.64
2026-02-11,6.25,6.53,6.88,6.24,459275,4.31
2026-02-12,6.53,6.19,6.56,6.18,299319,-5.21
2026-02-13,6.2,6.26,6.46,6.1,207864,1.13
