date,open,close,high,low,vol,pct_chg
2025-11-06,28.75,29.68,29.78,28.75,203348.82,3.16
2025-11-07,29.6,29.33,29.83,29.21,124206.83,-1.18
2025-11-10,29.22,28.71,29.43,28.36,156523.54,-2.11
2025-11-11,28.95,28.37,29.11,28.26,117261.09,-1.18
2025-11-12,28.37,28.13,28.46,27.83,99287.54,-0.85
2025-11-13,28.0,28.17,28.44,27.88,100673.43,0.14
2025-11-14,28.0,27.4,28.0,27.4,120106.88,-2.73
2025-11-17,26.86,26.79,27.28,26.63,144810.34,-2.23
2025-11-18,26.72,26.75,27.34,26.55,140485.87,-0.15
2025-11-19,26.76,26.85,27.21,26.56,100531.29,0.37
2025-11-20,27.05,26.59,27.2,26.48,108877.1,-0.97
2025-11-21,26.48,25.8,26.7,25.71,127753.34,-2.97
2025-11-24,25.95,26.59,26.7,25.68,124738.66,3.06
2025-11-25,26.68,27.17,27.44,26.68,185693.54,2.18
2025-11-26,26.92,27.16,27.67,26.68,126458.57,-0.04
2025-11-27,27.17,27.18,27.69,27.14,110520.0,0.07
2025-11-28,27.17,27.74,27.85,26.97,158201.54,2.06
2025-12-01,27.65,28.27,28.3,27.59,166626.27,1.91
2025-12-02,28.18,27.71,28.2,27.57,104581.81,-1.98
2025-12-03,27.75,27.91,28.34,27.52,130757.41,0.72
2025-12-04,28.11,27.46,28.24,27.38,151085.79,-1.61
2025-12-05,27.45,28.91,29.07,27.28,245909.26,5.28
2025-12-08,28.95,28.96,29.28,28.75,143941.76,0.17
2025-12-09,28.88,29.18,29.45,28.72,122480.28,0.76
2025-12-10,29.1,30.12,30.3,29.05,199210.96,3.22
2025-12-11,30.18,30.08,30.36,29.79,146045.63,-0.13
2025-12-12,30.02,30.53,30.56,29.5,183798.86,1.5
2025-12-15,30.0,29.74,30.59,29.73,126610.47,-2.59
2025-12-16,29.61,29.09,29.84,29.0,118487.31,-2.19
2025-12-17,29.21,29.78,29.92,28.9,141853.88,2.37
2025-12-18,29.59,29.65,30.06,29.43,99814.66,-0.44
2025-12-19,29.96,30.61,31.68,29.96,226690.02,3.24
2025-12-22,30.71,31.11,31.36,30.5,139892.26,1.63
2025-12-23,30.95,30.56,31.2,30.42,126615.98,-1.77
2025-12-24,30.58,30.47,30.71,30.25,113007.07,-0.29
2025-12-25,30.55,30.1,30.55,29.71,144350.05,-1.21
2025-12-26,30.1,29.86,30.3,29.81,120023.34,-0.8
2025-12-29,29.86,30.4,30.8,29.79,132008.37,1.81
2025-12-30,30.0,30.85,31.13,30.0,171573.18,1.48
2025-12-31,31.36,30.55,31.55,30.25,191919.26,-0.97
2026-01-05,30.08,30.57,31.08,30.08,158220.77,0.07
2026-01-06,30.64,30.4,30.79,30.23,162183.98,-0.56
2026-01-07,30.26,31.68,32.25,30.08,272270.31,4.21
2026-01-08,31.5,30.79,31.68,30.66,166909.88,-2.81
2026-01-09,30.82,31.26,31.56,30.63,150900.57,1.53
2026-01-12,31.25,30.85,31.48,30.26,192775.03,-1.31
2026-01-13,30.8,30.21,31.28,30.11,154564.21,-2.07
2026-01-14,30.18,29.69,30.5,29.4,213352.25,-1.72
2026-01-15,29.51,30.84,30.98,29.46,201164.32,3.87
2026-01-16,30.89,31.77,31.83,30.89,217996.12,3.02
2026-01-19,31.88,34.95,34.95,31.54,366060.54,10.01
2026-01-20,34.7,34.32,35.6,34.02,415171.78,-1.8
2026-01-21,34.31,35.9,36.56,34.08,304595.68,4.6
2026-01-22,35.79,35.75,36.2,35.43,171918.57,-0.42
2026-01-23,36.09,36.12,37.22,35.85,210968.97,1.03
2026-01-26,36.0,34.15,36.0,33.98,260050.89,-5.45
2026-01-27,33.97,34.85,35.11,33.62,166757.9,2.05
2026-01-28,34.6,34.84,35.01,34.2,142692.67,-0.03
2026-01-29,34.53,33.19,34.72,33.14,200602.44,-4.74
2026-01-30,33.0,33.15,33.52,31.53,200716.51,-0.12
2026-02-02,32.84,31.2,33.3,31.1,192039.31,-5.88
2026-02-03,31.82,32.09,32.27,31.1,124168.71,2.85
2026-02-04,32.03,31.77,32.2,31.48,98997.53,-1.0
2026-02-05,31.61,31.5,31.91,31.03,107631.25,-0.85
2026-02-06,31.2,31.18,32.06,30.78,119228.0,-1.02
2026-02-09,31.78,32.08,32.45,31.3,135204.12,2.89
2026-02-10,32.08,32.28,32.41,31.9,97629.45,0.62
2026-02-11,32.3,32.5,33.0,32.12,119821.0,0.68
2026-02-12,32.5,33.58,33.68,32.38,153118.21,3.32
2026-02-13,33.61,33.47,34.34,33.28,144083.27,-0.33
