date,open,close,high,low,vol,pct_chg
2025-11-06,18.61,18.5,18.78,18.36,96251.16,-0.54
2025-11-07,18.31,18.94,19.45,18.31,159355.65,2.38
2025-11-10,19.26,20.0,20.83,19.26,380533.5,5.6
2025-11-11,19.95,19.58,20.56,19.5,244127.45,-2.1
2025-11-12,19.58,19.11,19.72,18.96,118314.67,-2.4
2025-11-13,19.0,19.27,19.55,19.0,98867.25,0.84
2025-11-14,19.2,19.5,19.81,19.19,101731.59,1.19
2025-11-17,19.56,19.42,19.73,19.11,84269.21,-0.41
2025-11-18,19.35,18.79,19.42,18.61,96510.94,-3.24
2025-11-19,18.79,18.7,19.22,18.58,82734.05,-0.48
2025-11-20,18.79,18.34,18.94,18.2,72088.3,-1.93
2025-11-21,18.06,17.02,18.3,16.96,135567.51,-7.2
2025-11-24,17.1,17.37,17.49,16.8,79120.05,2.06
2025-11-25,17.41,17.5,17.78,17.33,68151.1,0.75
2025-11-26,17.5,17.31,17.67,17.01,64159.61,-1.09
2025-11-27,17.4,17.17,17.45,17.12,47938.28,-0.81
2025-11-28,17.24,17.37,17.47,17.07,46095.1,1.16
2025-12-01,17.49,17.55,17.87,17.41,58435.41,1.04
2025-12-02,17.48,17.18,17.55,17.11,58283.63,-2.11
2025-12-03,17.12,17.06,17.15,16.95,40972.57,-0.7
2025-12-04,17.06,16.67,17.09,16.62,47828.4,-2.29
2025-12-05,16.8,16.89,16.93,16.6,46789.92,1.32
2025-12-08,16.96,16.77,17.0,16.65,50149.9,-0.71
2025-12-09,16.89,16.36,16.89,16.31,79171.64,-2.44
2025-12-10,16.36,16.34,16.36,16.12,32068.3,-0.12
2025-12-11,16.34,15.79,16.45,15.74,96620.7,-3.37
2025-12-12,15.81,15.88,16.19,15.72,74378.01,0.57
2025-12-15,16.04,15.93,16.19,15.86,44715.2,0.31
2025-12-16,15.89,15.42,15.98,15.3,71127.38,-3.2
2025-12-17,15.49,15.66,15.75,15.2,104712.41,1.56
2025-12-18,15.6,15.75,15.97,15.6,56990.0,0.57
2025-12-19,15.7,15.83,15.89,15.7,42042.12,0.51
2025-12-22,15.92,16.95,17.06,15.92,153929.31,7.08
2025-12-23,16.94,16.83,17.1,16.65,70035.67,-0.71
2025-12-24,16.61,17.05,17.17,16.61,79387.43,1.31
2025-12-25,17.06,16.73,17.11,16.6,71462.02,-1.88
2025-12-26,16.75,16.53,16.84,16.48,62540.18,-1.2
2025-12-29,16.46,16.46,16.61,16.0,57334.9,-0.42
2025-12-30,16.39,16.22,16.44,16.15,45938.09,-1.46
2025-12-31,16.16,16.23,16.35,15.9,44772.0,0.06
2026-01-05,16.41,16.33,16.55,16.06,59156.66,0.62
2026-01-06,16.46,16.3,16.55,16.2,79945.58,-0.18
2026-01-07,16.24,16.12,16.33,16.01,77265.81,-1.1
2026-01-08,16.12,16.44,16.47,15.99,89398.17,1.99
2026-01-09,16.72,16.28,16.8,16.18,112311.37,-0.97
2026-01-12,16.28,16.24,16.28,16.12,88654.4,-0.25
2026-01-13,16.25,16.21,16.7,16.17,129789.11,-0.18
2026-01-14,16.19,15.99,16.44,15.87,121811.79,-1.36
2026-01-15,16.08,15.73,16.08,15.65,81811.5,-1.63
2026-01-16,15.73,15.61,15.83,15.47,65450.37,-0.76
2026-01-19,15.67,16.02,16.05,15.58,67930.05,2.63
2026-01-20,15.98,16.17,16.22,15.83,89698.49,0.94
2026-01-21,16.1,16.15,16.23,15.91,55978.45,-0.12
2026-01-22,16.15,16.71,16.78,16.14,130035.84,3.47
2026-01-23,16.71,17.17,17.23,16.61,149230.93,2.75
2026-01-26,17.0,17.02,17.27,16.75,107960.45,-0.87
2026-01-27,16.88,16.66,16.97,16.41,77551.33,-2.12
2026-01-28,16.88,16.82,17.0,16.62,71083.34,0.96
2026-01-29,16.9,16.94,17.2,16.71,107489.37,0.71
2026-01-30,16.92,17.1,17.35,16.47,130140.42,0.94
2026-02-02,16.78,16.23,17.0,16.19,101017.92,-5.09
2026-02-03,16.36,16.4,16.58,16.21,48313.15,1.05
2026-02-04,16.41,16.62,17.19,16.33,81035.18,1.34
2026-02-05,16.52,16.32,16.69,16.22,52868.0,-1.81
2026-02-06,16.2,16.6,16.73,16.09,55418.79,1.72
2026-02-09,16.7,16.47,16.75,16.33,73014.71,-0.78
2026-02-10,16.43,16.51,16.66,16.23,47692.82,0.24
2026-02-11,16.51,16.66,17.07,16.35,107210.38,0.91
2026-02-12,16.85,16.5,17.13,16.47,138270.88,-0.96
2026-02-13,16.43,16.22,16.54,16.16,65834.55,-1.7
