date,open,close,high,low,vol,pct_chg
2025-11-06,22.03,22.14,22.25,21.98,400226.13,0.27
2025-11-07,22.1,22.18,22.53,21.83,506657.48,0.18
2025-11-10,22.52,22.14,22.63,22.04,346929.33,-0.18
2025-11-11,22.14,21.73,22.3,21.72,410753.15,-1.85
2025-11-12,21.65,20.87,21.65,20.65,568594.1,-3.96
2025-11-13,20.7,21.33,21.62,20.69,505812.66,2.2
2025-11-14,21.12,21.1,21.49,20.9,329230.19,-1.08
2025-11-17,21.1,21.21,21.49,21.01,310933.87,0.52
2025-11-18,21.13,20.96,21.37,20.7,339122.91,-1.18
2025-11-19,20.95,21.08,21.29,20.6,392171.07,0.57
2025-11-20,20.97,21.21,21.68,20.91,527374.52,0.62
2025-11-21,20.8,20.1,20.81,20.01,558896.75,-5.23
2025-11-24,20.2,20.28,20.45,19.61,465803.28,0.9
2025-11-25,20.46,20.46,20.79,20.23,396600.34,0.89
2025-11-26,20.31,20.3,20.57,20.15,261913.96,-0.78
2025-11-27,20.41,20.17,20.65,20.11,278589.94,-0.64
2025-11-28,20.2,20.75,20.86,20.06,525098.39,2.88
2025-12-01,20.8,21.45,21.45,20.8,618564.12,3.37
2025-12-02,21.41,20.88,21.41,20.75,402164.57,-2.66
2025-12-03,21.07,20.9,21.37,20.84,395263.99,0.1
2025-12-04,20.75,20.54,20.88,20.45,284770.24,-1.72
2025-12-05,20.65,21.1,21.3,20.5,401563.02,2.73
2025-12-08,21.14,21.25,21.27,20.92,411577.67,0.71
2025-12-09,21.12,21.0,21.32,20.82,308335.33,-1.18
2025-12-10,21.01,21.26,21.3,20.73,352986.99,1.24
2025-12-11,21.21,20.74,21.3,20.72,300639.73,-2.45
2025-12-12,20.87,20.88,20.92,20.6,276520.98,0.68
2025-12-15,20.63,20.72,20.92,20.6,285045.9,-0.77
2025-12-16,20.62,20.11,20.7,19.96,345303.45,-2.94
2025-12-17,20.17,20.78,20.85,19.93,423932.53,3.33
2025-12-18,20.58,20.49,21.15,20.48,315015.11,-1.4
2025-12-19,20.52,21.19,21.24,20.5,564620.0,3.42
2025-12-22,21.25,21.33,21.49,21.09,389133.78,0.66
2025-12-23,21.34,21.4,21.6,21.16,345805.34,0.33
2025-12-24,21.46,21.38,21.52,21.23,274775.59,-0.09
2025-12-25,21.25,21.48,21.55,21.05,336175.73,0.47
2025-12-26,21.68,21.6,21.75,21.33,387717.65,0.56
2025-12-29,21.61,21.52,22.0,21.45,393335.76,-0.37
2025-12-30,21.1,21.68,21.9,21.07,385255.9,0.74
2025-12-31,21.68,21.53,21.84,21.38,293813.29,-0.69
2026-01-05,21.53,21.91,21.98,21.53,459176.68,1.76
2026-01-06,22.0,22.4,22.58,21.91,640019.07,2.24
2026-01-07,22.75,23.07,23.57,22.6,1267642.11,2.99
2026-01-08,22.76,22.65,23.13,22.4,770578.18,-1.82
2026-01-09,22.63,23.4,23.57,22.56,932308.08,3.31
2026-01-12,23.72,24.24,24.45,23.22,1175134.09,3.59
2026-01-13,24.27,23.65,24.38,23.44,817562.63,-2.43
2026-01-14,23.51,23.41,24.15,23.02,868730.96,-1.01
2026-01-15,23.52,23.78,24.38,23.47,700875.42,1.58
2026-01-16,23.86,23.81,24.28,23.65,623538.7,0.13
2026-01-19,23.9,24.18,24.78,23.8,784612.01,1.55
2026-01-20,24.24,23.86,24.44,23.03,697447.79,-1.32
2026-01-21,23.55,24.15,24.35,23.55,567999.35,1.22
2026-01-22,24.0,24.38,24.56,23.85,556392.19,0.95
2026-01-23,24.57,25.17,25.39,24.45,886890.71,3.24
2026-01-26,25.25,25.95,26.35,25.23,1194294.98,3.1
2026-01-27,25.69,25.7,26.39,24.93,945089.07,-0.96
2026-01-28,25.67,27.3,27.45,25.18,1506217.67,6.23
2026-01-29,27.8,30.03,30.03,27.7,2050744.64,10.0
2026-01-30,28.88,27.03,28.95,27.03,1737542.18,-9.99
2026-02-02,25.5,24.35,25.94,24.35,1584156.75,-9.91
2026-02-03,25.06,26.16,26.28,24.41,1344128.66,7.43
2026-02-04,26.57,25.93,26.69,25.41,715650.97,-0.88
2026-02-05,25.45,24.5,25.74,24.06,722008.71,-5.51
2026-02-06,23.67,24.67,25.1,23.53,692419.32,0.69
2026-02-09,25.2,27.14,27.14,25.09,1546482.12,10.01
2026-02-10,27.5,28.48,28.7,27.1,1874073.35,4.94
2026-02-11,28.39,28.79,29.77,28.31,1331369.47,1.09
2026-02-12,28.74,30.91,31.24,28.62,1422350.74,7.36
2026-02-13,30.18,29.46,30.86,29.32,1137374.02,-4.69
