date,open,close,high,low,vol,pct_chg
2025-11-06,6.44,6.48,6.51,6.39,187496.6,0.62
2025-11-07,6.45,6.59,6.64,6.45,272314.24,1.7
2025-11-10,6.6,6.58,6.6,6.51,208200.62,-0.15
2025-11-11,6.53,6.66,6.77,6.49,418238.88,1.22
2025-11-12,6.65,6.71,6.71,6.59,219030.12,0.75
2025-11-13,6.68,6.7,6.72,6.61,209476.71,-0.15
2025-11-14,6.67,6.56,6.75,6.56,223002.73,-2.09
2025-11-17,6.54,6.55,6.6,6.49,184010.91,-0.15
2025-11-18,6.55,6.45,6.55,6.41,167900.1,-1.53
2025-11-19,6.45,6.38,6.49,6.37,134960.46,-1.09
2025-11-20,6.39,6.29,6.4,6.29,178763.09,-1.41
2025-11-21,6.29,6.1,6.32,6.1,271298.9,-3.02
2025-11-24,6.14,6.12,6.17,6.11,149734.6,0.33
2025-11-25,6.12,6.13,6.15,6.11,146036.28,0.16
2025-11-26,6.14,6.11,6.18,6.09,114290.0,-0.33
2025-11-27,6.1,6.08,6.12,6.07,136919.26,-0.49
2025-11-28,6.09,6.13,6.14,6.04,131585.0,0.82
2025-12-01,6.13,6.11,6.15,6.1,106416.8,-0.33
2025-12-02,6.11,6.11,6.13,6.04,101209.55,0.0
2025-12-03,6.12,6.35,6.39,6.1,315905.0,3.93
2025-12-04,6.31,6.36,6.4,6.28,204539.18,0.16
2025-12-05,6.35,6.41,6.43,6.31,126488.93,0.79
2025-12-08,6.4,6.29,6.41,6.27,147436.07,-1.87
2025-12-09,6.29,6.22,6.31,6.21,103635.22,-1.11
2025-12-10,6.21,6.29,6.32,6.2,113378.7,1.13
2025-12-11,6.27,6.21,6.3,6.2,94663.94,-1.27
2025-12-12,6.2,6.21,6.27,6.18,101072.0,0.0
2025-12-15,6.23,6.34,6.37,6.21,119343.28,2.09
2025-12-16,6.32,6.37,6.4,6.28,139760.96,0.47
2025-12-17,6.36,6.33,6.36,6.25,120210.34,-0.63
2025-12-18,6.33,6.41,6.45,6.28,143503.15,1.26
2025-12-19,6.42,6.47,6.5,6.37,147919.86,0.94
2025-12-22,6.45,6.44,6.49,6.42,112285.36,-0.46
2025-12-23,6.43,6.42,6.51,6.4,118190.78,-0.31
2025-12-24,6.4,6.5,6.5,6.38,108343.52,1.25
2025-12-25,6.51,6.49,6.57,6.48,108929.51,-0.15
2025-12-26,6.49,6.51,6.53,6.46,131417.76,0.31
2025-12-29,6.5,6.49,6.59,6.44,142847.43,-0.31
2025-12-30,6.47,6.44,6.51,6.36,181945.44,-0.77
2025-12-31,6.44,6.44,6.49,6.42,91529.04,0.0
2026-01-05,6.45,6.43,6.46,6.35,162715.63,-0.16
2026-01-06,6.42,6.54,6.59,6.41,192293.26,1.71
2026-01-07,6.55,6.53,6.57,6.48,146863.54,-0.15
2026-01-08,6.52,6.42,6.53,6.41,140302.08,-1.68
2026-01-09,6.42,6.41,6.44,6.35,189799.84,-0.16
2026-01-12,6.35,6.41,6.41,6.33,177638.09,0.0
2026-01-13,6.42,6.39,6.49,6.35,202323.19,-0.31
2026-01-14,6.39,6.28,6.41,6.24,315760.21,-1.72
2026-01-15,6.3,6.29,6.32,6.27,149705.17,0.16
2026-01-16,6.32,6.3,6.4,6.27,222076.05,0.16
2026-01-19,6.27,6.4,6.4,6.27,204344.65,1.59
2026-01-20,6.38,6.5,6.52,6.35,231087.78,1.56
2026-01-21,6.5,6.49,6.55,6.45,189531.81,-0.15
2026-01-22,6.49,6.63,6.65,6.46,256855.3,2.16
2026-01-23,6.63,6.56,6.64,6.53,236824.57,-1.06
2026-01-26,6.54,6.58,6.59,6.45,201331.66,0.3
2026-01-27,6.56,6.49,6.58,6.45,154868.65,-1.37
2026-01-28,6.48,6.58,6.65,6.44,226875.24,1.39
2026-01-29,6.54,6.6,6.63,6.51,174073.5,0.3
2026-01-30,6.61,6.58,6.7,6.55,210622.93,-0.3
2026-02-02,6.51,6.38,6.59,6.36,260399.05,-3.04
2026-02-03,6.4,6.33,6.43,6.31,266520.19,-0.78
2026-02-04,6.32,6.47,6.48,6.32,204306.21,2.21
2026-02-05,6.44,6.46,6.51,6.42,146267.0,-0.15
2026-02-06,6.45,6.39,6.49,6.38,144173.13,-1.08
2026-02-09,6.45,6.42,6.48,6.38,166529.64,0.47
2026-02-10,6.43,6.41,6.43,6.35,100332.07,-0.16
2026-02-11,6.4,6.45,6.47,6.38,162541.73,0.62
2026-02-12,6.45,6.36,6.47,6.34,168435.86,-1.4
2026-02-13,6.35,6.16,6.36,6.16,254465.13,-3.14
