date,open,close,high,low,vol,pct_chg
2025-11-06,6.0,6.24,6.5,5.69,924640.03,5.58
2025-11-07,6.01,5.83,6.09,5.78,579619.7,-6.57
2025-11-10,5.76,5.76,5.87,5.66,415448.27,-1.2
2025-11-11,5.76,5.77,5.88,5.7,404753.17,0.17
2025-11-12,5.75,5.75,5.89,5.72,254735.85,-0.35
2025-11-13,5.66,5.72,5.78,5.6,218431.96,-0.52
2025-11-14,5.73,5.73,5.82,5.69,164880.01,0.17
2025-11-17,5.68,5.75,5.82,5.68,165390.52,0.35
2025-11-18,5.71,5.64,5.74,5.6,149479.89,-1.91
2025-11-19,5.65,5.55,5.65,5.49,175226.7,-1.6
2025-11-20,5.51,5.51,5.6,5.47,110738.14,-0.72
2025-11-21,5.48,5.25,5.5,5.24,190779.14,-4.72
2025-11-24,5.29,5.29,5.34,5.22,122393.8,0.76
2025-11-25,5.31,5.34,5.37,5.27,78002.18,0.95
2025-11-26,5.36,5.31,5.42,5.31,74211.55,-0.56
2025-11-27,5.31,5.29,5.34,5.28,64577.0,-0.38
2025-11-28,5.29,5.33,5.34,5.25,66669.51,0.76
2025-12-01,5.34,5.41,5.45,5.31,159324.2,1.5
2025-12-02,5.38,5.42,5.48,5.35,118856.89,0.18
2025-12-03,5.45,5.4,5.46,5.36,91016.79,-0.37
2025-12-04,5.43,5.31,5.43,5.3,73847.19,-1.67
2025-12-05,5.3,5.38,5.44,5.28,94624.1,1.32
2025-12-08,5.35,5.32,5.38,5.31,84422.0,-1.12
2025-12-09,5.3,5.27,5.32,5.23,66324.79,-0.94
2025-12-10,5.23,5.28,5.3,5.23,57311.16,0.19
2025-12-11,5.25,5.19,5.28,5.18,71670.32,-1.7
2025-12-12,5.17,5.1,5.21,5.1,93329.0,-1.73
2025-12-15,5.08,5.14,5.16,5.07,67991.7,0.78
2025-12-16,5.15,5.03,5.17,5.03,86359.0,-2.14
2025-12-17,5.02,5.12,5.14,5.0,90695.48,1.79
2025-12-18,5.12,5.11,5.16,5.09,44465.0,-0.2
2025-12-19,5.12,5.15,5.18,5.1,56866.43,0.78
2025-12-22,5.21,5.22,5.29,5.18,75970.0,1.36
2025-12-23,5.22,5.18,5.33,5.17,89234.18,-0.77
2025-12-24,5.19,5.2,5.24,5.17,58789.01,0.39
2025-12-25,5.22,5.18,5.23,5.15,54735.01,-0.38
2025-12-26,5.19,5.18,5.21,5.16,61443.0,0.0
2025-12-29,5.17,5.1,5.18,5.08,64086.0,-1.54
2025-12-30,5.15,5.05,5.15,5.03,72122.0,-0.98
2025-12-31,5.08,5.02,5.08,5.0,74721.86,-0.59
2026-01-05,5.05,5.06,5.07,5.01,65945.0,0.8
2026-01-06,5.06,5.05,5.1,5.02,120151.06,-0.2
2026-01-07,5.05,5.02,5.09,5.01,101827.5,-0.59
2026-01-08,5.02,4.96,5.02,4.96,108809.72,-1.2
2026-01-09,4.97,5.01,5.01,4.96,76844.83,1.01
2026-01-12,5.04,5.07,5.07,5.01,96440.38,1.2
2026-01-13,5.05,5.03,5.09,5.03,104726.0,-0.79
2026-01-14,5.03,5.05,5.09,4.99,106699.37,0.4
2026-01-15,5.05,5.08,5.09,5.02,106356.95,0.59
2026-01-16,5.1,5.13,5.16,5.06,154777.4,0.98
2026-01-19,5.14,5.16,5.16,5.09,114851.54,0.58
2026-01-20,5.18,5.29,5.3,5.16,191306.23,2.52
2026-01-21,5.26,5.25,5.28,5.21,84498.43,-0.76
2026-01-22,5.25,5.31,5.33,5.22,93529.43,1.14
2026-01-23,5.31,5.3,5.32,5.25,89320.13,-0.19
2026-01-26,5.29,5.33,5.34,5.24,92777.79,0.57
2026-01-27,5.32,5.28,5.34,5.21,76235.99,-0.94
2026-01-28,5.27,5.38,5.41,5.26,98910.39,1.89
2026-01-29,5.37,5.33,5.38,5.28,91513.9,-0.93
2026-01-30,5.31,5.33,5.38,5.28,91282.91,0.0
2026-02-02,5.34,5.26,5.37,5.26,89199.36,-1.31
2026-02-03,5.31,5.28,5.33,5.25,80729.0,0.38
2026-02-04,5.28,5.44,5.66,5.28,259171.17,3.03
2026-02-05,5.48,5.38,5.51,5.36,165642.1,-1.1
2026-02-06,5.36,5.34,5.37,5.26,128393.01,-0.74
2026-02-09,5.34,5.39,5.4,5.32,117396.24,0.94
2026-02-10,5.4,5.32,5.4,5.31,68237.65,-1.3
2026-02-11,5.32,5.32,5.35,5.26,81095.36,0.0
2026-02-12,5.33,5.25,5.33,5.25,79787.0,-1.32
2026-02-13,5.23,5.18,5.27,5.17,80965.01,-1.33
