date,open,close,high,low,vol,pct_chg
2023-05-24,4.97,5.15,5.24,4.95,155507,3.62
2023-05-25,5.11,5.05,5.15,5.0,90578,-1.94
2023-05-26,5.06,5.06,5.07,4.98,51088,0.2
2023-05-29,5.06,5.0,5.08,5.0,42610,-1.19
2023-05-30,5.0,5.03,5.03,4.95,33446,0.6
2023-05-31,5.01,4.97,5.02,4.96,33635,-1.19
2023-06-01,4.96,4.99,5.01,4.94,33330,0.4
2023-06-02,4.99,5.03,5.04,4.97,41258,0.8
2023-06-05,5.03,5.02,5.05,5.0,42127,-0.2
2023-06-06,5.02,4.89,5.03,4.88,66830,-2.59
2023-06-07,4.88,4.83,4.91,4.81,65620,-1.23
2023-06-08,4.82,4.75,4.84,4.73,68280,-1.66
2023-06-09,4.75,4.63,4.76,4.58,99601,-2.53
2023-06-12,4.62,4.73,4.74,4.58,49746,2.16
2023-06-13,4.72,4.69,4.74,4.67,32390,-0.85
2023-06-14,4.69,4.71,4.72,4.66,38694,0.43
2023-06-15,4.71,4.79,4.82,4.68,48717,1.7
2023-06-16,4.81,4.88,4.92,4.8,61772,1.88
2023-06-19,4.9,4.83,4.92,4.81,46985,-1.02
2023-06-20,4.83,4.82,4.88,4.76,53106,-0.21
2023-06-21,4.82,4.75,4.83,4.75,39906,-1.45
2023-06-26,4.72,4.7,4.78,4.68,44828,-1.05
2023-06-27,4.74,4.84,4.84,4.72,45653,2.98
2023-06-28,4.84,4.81,4.85,4.75,31233,-0.62
2023-06-29,4.83,4.9,4.9,4.8,44150,1.87
2023-06-30,4.9,4.95,4.98,4.88,47440,1.02
2023-07-03,5.0,5.45,5.45,4.99,226883,10.1
2023-07-04,5.55,5.44,5.55,5.32,359413,-0.18
2023-07-05,5.47,5.4,5.5,5.37,144399,-0.74
2023-07-06,5.4,5.41,5.49,5.37,109458,0.19
2023-07-07,5.4,5.42,5.5,5.38,101774,0.18
2023-07-10,5.42,5.39,5.48,5.37,99421,-0.55
2023-07-11,5.41,5.46,5.47,5.38,83543,1.3
2023-07-12,5.45,5.37,5.46,5.37,69437,-1.65
2023-07-13,5.39,5.41,5.43,5.37,56796,0.74
2023-07-14,5.41,5.43,5.46,5.38,68203,0.37
2023-07-17,5.24,5.44,5.46,5.18,99952,0.18
2023-07-18,5.44,5.53,5.66,5.41,153437,1.65
2023-07-19,5.54,5.52,5.56,5.49,46452,-0.18
2023-07-20,5.53,5.4,5.59,5.36,79604,-2.17
2023-07-21,5.42,5.33,5.43,5.29,47835,-1.3
2023-07-24,5.33,5.29,5.37,5.27,43281,-0.75
2023-07-25,5.33,5.36,5.38,5.33,48420,1.32
2023-07-26,5.38,5.32,5.38,5.3,37496,-0.75
2023-07-27,5.32,5.29,5.35,5.27,36743,-0.56
2023-07-28,5.29,5.3,5.31,5.22,60056,0.19
2023-07-31,5.31,5.46,5.48,5.3,82139,3.02
2023-08-01,5.45,5.48,5.58,5.43,57305,0.37
2023-08-02,5.49,5.49,5.53,5.44,53318,0.18
2023-08-03,5.47,5.43,5.48,5.41,37001,-1.09
2023-08-04,5.45,5.42,5.48,5.41,40947,-0.18
2023-08-07,5.42,5.42,5.43,5.39,28070,0.0
2023-08-08,5.41,5.49,5.56,5.36,87679,1.29
2023-08-09,5.45,5.42,5.46,5.38,46867,-1.28
2023-08-10,5.42,5.35,5.43,5.33,39282,-1.29
2023-08-11,5.36,5.18,5.36,5.18,64582,-3.18
2023-08-14,5.18,5.19,5.23,5.09,49655,0.19
2023-08-15,5.22,5.16,5.22,5.09,43998,-0.58
2023-08-16,5.18,5.08,5.18,5.08,26790,-1.55
2023-08-17,5.08,5.16,5.17,5.05,28593,1.57
2023-08-18,5.14,5.08,5.19,5.07,30734,-1.55
2023-08-21,5.08,5.05,5.15,5.03,26431,-0.59
2023-08-22,5.06,5.06,5.11,4.96,37816,0.2
2023-08-23,5.05,4.96,5.05,4.95,23951,-1.98
2023-08-24,4.96,4.98,5.03,4.9,39248,0.4
2023-08-25,4.94,4.89,5.04,4.85,64916,-1.81
2023-08-28,5.11,4.99,5.14,4.97,92698,2.04
2023-08-29,4.98,5.07,5.09,4.97,46984,1.6
2023-08-30,5.1,5.09,5.17,5.05,57442,0.39
2023-08-31,5.08,5.15,5.16,5.05,61974,1.18
2023-09-01,5.15,5.11,5.18,5.08,46109,-0.78
2023-09-04,5.11,5.18,5.18,5.1,47897,1.37
2023-09-05,5.17,5.26,5.28,5.15,59176,1.54
2023-09-06,5.24,5.48,5.5,5.22,204047,4.18
2023-09-07,5.45,5.27,5.46,5.26,108230,-3.83
2023-09-08,5.3,5.63,5.8,5.28,479131,6.83
2023-09-11,5.51,5.54,5.69,5.45,484481,-1.6
2023-09-12,5.52,5.48,5.57,5.45,220660,-1.08
2023-09-13,5.48,5.48,5.59,5.4,182025,0.0
2023-09-14,5.43,5.42,5.47,5.36,94132,-1.09
2023-09-15,5.4,5.43,5.47,5.38,82443,0.18
2023-09-18,5.35,5.4,5.43,5.33,66949,-0.55
2023-09-19,5.39,5.33,5.41,5.31,58282,-1.3
2023-09-20,5.31,5.32,5.35,5.3,46072,-0.19
2023-09-21,5.35,5.34,5.39,5.29,59009,0.38
2023-09-22,5.34,5.4,5.42,5.31,81448,1.12
2023-09-25,5.4,5.4,5.44,5.32,70735,0.0
2023-09-26,5.38,5.29,5.38,5.27,72012,-2.04
2023-09-27,5.29,5.26,5.32,5.26,43647,-0.57
2023-09-28,5.26,5.37,5.39,5.26,60332,2.09
2023-10-09,5.36,5.32,5.39,5.31,46933,-0.93
2023-10-10,5.34,5.33,5.35,5.29,34298,0.19
2023-10-11,5.34,5.43,5.48,5.32,87163,1.88
2023-10-12,5.45,5.5,5.52,5.38,88250,1.29
2023-10-13,5.49,5.47,5.52,5.44,59507,-0.55
2023-10-16,5.46,5.49,5.58,5.43,77447,0.37
2023-10-17,5.51,5.43,5.52,5.42,44236,-1.09
2023-10-18,5.44,5.35,5.46,5.34,52272,-1.47
2023-10-19,5.32,5.3,5.41,5.28,56801,-0.93
2023-10-20,5.3,5.2,5.3,5.19,45299,-1.89
2023-10-23,5.2,4.99,5.22,4.68,114485,-4.04
2023-10-24,5.0,5.2,5.22,4.98,99024,4.21
2023-10-25,5.23,5.3,5.34,5.23,64121,1.92
2023-10-26,5.29,5.38,5.38,5.24,62675,1.51
2023-10-27,5.38,5.47,5.51,5.33,65720,1.67
2023-10-30,5.46,5.44,5.5,5.4,64377,-0.55
2023-10-31,5.47,5.44,5.5,5.41,48715,0.0
2023-11-01,5.48,5.5,5.53,5.42,73589,1.1
2023-11-02,5.49,5.47,5.56,5.45,59748,-0.55
2023-11-03,5.45,5.45,5.5,5.44,49649,-0.37
2023-11-06,5.46,5.52,5.52,5.46,56996,1.28
2023-11-07,5.53,5.53,5.56,5.47,51644,0.18
2023-11-08,5.55,5.66,5.66,5.47,115937,2.35
2023-11-09,5.77,5.64,5.9,5.61,358519,-0.35
2023-11-10,5.63,5.71,5.78,5.6,203874,1.24
2023-11-13,5.71,5.68,5.76,5.63,116809,-0.53
2023-11-14,5.74,5.69,5.75,5.67,80281,0.18
2023-11-15,5.72,5.74,5.74,5.65,99795,0.88
2023-11-16,5.7,5.7,5.77,5.68,72999,-0.7
2023-11-17,5.69,5.8,5.83,5.68,112932,1.75
2023-11-20,5.8,5.79,5.85,5.76,85223,-0.17
2023-11-21,5.8,5.77,5.84,5.75,73039,-0.35
2023-11-22,5.75,5.66,5.79,5.64,103355,-1.91
2023-11-23,5.68,5.7,5.73,5.64,79863,0.71
2023-11-24,5.69,5.62,5.7,5.58,76231,-1.4
2023-11-27,5.6,5.64,5.68,5.58,64021,0.36
2023-11-28,5.64,5.7,5.71,5.6,50475,1.06
2023-11-29,5.69,5.69,5.79,5.67,66278,-0.18
2023-11-30,5.68,5.6,5.68,5.53,56363,-1.58
2023-12-01,5.6,5.6,5.64,5.54,42598,0.0
2023-12-04,5.61,5.58,5.64,5.55,49656,-0.36
2023-12-05,5.57,5.48,5.6,5.48,50494,-1.79
2023-12-06,5.52,5.53,5.58,5.45,58056,0.91
2023-12-07,5.56,5.48,5.56,5.44,50943,-0.9
2023-12-08,5.48,5.33,5.49,5.31,63437,-2.74
2023-12-11,5.32,5.32,5.38,5.26,73464,-0.19
2023-12-12,5.36,5.37,5.39,5.31,45075,0.94
2023-12-13,5.38,5.39,5.49,5.33,63318,0.37
2023-12-14,5.42,5.38,5.46,5.38,46116,-0.19
2023-12-15,5.4,5.41,5.45,5.38,55077,0.56
2023-12-18,5.4,5.24,5.41,5.22,68892,-3.14
2023-12-19,5.25,5.31,5.33,5.22,48297,1.34
2023-12-20,5.31,5.29,5.54,5.29,77086,-0.38
2023-12-21,5.27,5.35,5.35,5.17,69091,1.13
2023-12-22,5.3,5.32,5.41,5.26,58317,-0.56
2023-12-25,5.28,5.24,5.3,5.18,47974,-1.5
2023-12-26,5.24,5.15,5.24,5.14,37564,-1.72
2023-12-27,5.18,5.23,5.27,5.14,38208,1.55
2023-12-28,5.24,5.27,5.31,5.17,56690,0.76
2023-12-29,5.3,5.31,5.34,5.21,51863,0.76
2024-01-02,5.32,5.4,5.43,5.31,51082,1.69
2024-01-03,5.37,5.39,5.43,5.33,54633,-0.19
2024-01-04,5.36,5.42,5.6,5.36,142436,0.56
2024-01-05,5.4,5.6,5.96,5.33,401035,3.32
2024-01-08,5.55,5.4,5.66,5.37,306654,-3.57
2024-01-09,5.37,5.38,5.48,5.29,200192,-0.37
2024-01-10,5.33,5.22,5.34,5.17,118484,-2.97
2024-01-11,5.21,5.26,5.28,5.17,86947,0.77
2024-01-12,5.24,5.2,5.31,5.19,82941,-1.14
2024-01-15,5.2,5.14,5.2,5.1,67561,-1.15
2024-01-16,5.16,5.07,5.16,5.01,71654,-1.36
2024-01-17,5.07,4.95,5.09,4.92,56082,-2.37
2024-01-18,4.95,4.86,4.96,4.72,83575,-1.82
2024-01-19,4.88,4.87,4.95,4.83,55973,0.21
2024-01-22,4.86,4.52,4.86,4.47,100040,-7.19
2024-01-23,4.47,4.48,4.52,4.38,76556,-0.88
2024-01-24,4.5,4.57,4.58,4.4,62571,2.01
2024-01-25,4.58,4.75,4.77,4.54,63318,3.94
2024-01-26,4.76,4.81,4.87,4.73,56310,1.26
2024-01-29,4.83,4.64,4.83,4.63,56952,-3.53
2024-01-30,4.6,4.45,4.65,4.45,49965,-4.09
2024-01-31,4.45,4.14,4.48,4.13,99461,-6.97
2024-02-01,4.14,3.99,4.14,3.94,86055,-3.62
2024-02-02,4.01,3.75,4.08,3.59,159044,-6.02
2024-02-05,3.74,3.38,3.75,3.38,168791,-9.87
2024-02-06,3.23,3.26,3.47,3.04,220242,-3.55
2024-02-07,3.31,3.07,3.31,3.04,199691,-5.83
2024-02-08,3.08,3.38,3.38,2.98,253801,10.1
2024-02-19,3.5,3.54,3.63,3.42,166829,4.73
2024-02-20,3.53,3.59,3.61,3.43,93141,1.41
2024-02-21,3.55,3.67,3.8,3.51,119540,2.23
2024-02-22,3.66,3.76,3.78,3.6,108538,2.45
2024-02-23,3.8,3.92,3.92,3.78,124883,4.26
2024-02-26,3.99,3.98,4.05,3.87,123180,1.53
2024-02-27,3.96,4.14,4.14,3.9,92939,4.02
2024-02-28,4.14,3.78,4.25,3.78,192056,-8.7
2024-02-29,3.8,3.91,3.92,3.73,124676,3.44
2024-03-01,3.9,3.94,3.97,3.86,89816,0.77
2024-03-04,3.94,3.85,3.97,3.78,116647,-2.28
2024-03-05,3.84,3.75,3.84,3.73,92216,-2.6
2024-03-06,3.74,3.9,3.97,3.71,149823,4.0
2024-03-07,3.89,3.85,3.94,3.83,106414,-1.28
2024-03-08,3.84,3.86,3.9,3.8,59313,0.26
2024-03-11,3.85,3.93,3.94,3.84,86197,1.81
2024-03-12,3.93,4.03,4.03,3.92,106157,2.54
2024-03-13,4.04,4.0,4.05,3.95,73622,-0.74
2024-03-14,4.0,3.96,4.03,3.9,77800,-1.0
2024-03-15,3.97,4.07,4.07,3.93,82680,2.78
2024-03-18,4.08,4.15,4.15,4.07,84151,1.97
2024-03-19,4.15,4.14,4.2,4.12,74174,-0.24
2024-03-20,4.14,4.23,4.24,4.12,79611,2.17
2024-03-21,4.23,4.25,4.27,4.16,89485,0.47
2024-03-22,4.24,4.14,4.24,4.11,98492,-2.59
2024-03-25,4.15,4.08,4.23,4.07,107727,-1.45
2024-03-26,4.06,4.09,4.13,4.0,80363,0.25
2024-03-27,4.08,3.94,4.12,3.92,77842,-3.67
2024-03-28,3.93,4.09,4.14,3.92,92724,3.81
2024-03-29,4.08,4.11,4.11,4.05,62938,0.49
2024-04-01,4.12,4.26,4.26,4.12,101717,3.65
2024-04-02,4.25,4.32,4.33,4.23,90095,1.41
2024-04-03,4.32,4.32,4.37,4.24,86251,0.0
2024-04-08,4.3,4.19,4.32,4.17,80636,-3.01
2024-04-09,4.24,4.29,4.29,4.19,69038,2.39
2024-04-10,4.29,4.15,4.29,4.09,97343,-3.26
2024-04-11,4.15,4.18,4.23,4.09,78492,0.72
2024-04-12,4.17,4.1,4.21,4.08,79733,-1.91
2024-04-15,4.18,3.83,4.19,3.75,159880,-6.59
2024-04-16,3.82,3.45,3.83,3.45,164406,-9.92
2024-04-17,3.38,3.62,3.62,3.36,168134,4.93
2024-04-18,3.63,3.58,3.67,3.57,106260,-1.1
2024-04-19,3.61,3.58,3.68,3.53,103255,0.0
2024-04-22,3.61,3.49,3.61,3.43,84145,-2.51
2024-04-23,3.53,3.53,3.6,3.5,87754,1.15
2024-04-24,3.55,3.59,3.61,3.51,71779,1.7
2024-04-25,3.53,3.57,3.62,3.5,90895,-0.56
2024-04-26,3.57,3.69,3.7,3.51,107640,3.36
2024-04-29,3.72,3.88,3.88,3.67,89353,5.15
2024-04-30,3.89,3.89,3.91,3.81,89507,0.26
2024-05-06,3.94,3.99,4.0,3.91,81243,2.57
2024-05-07,4.01,4.07,4.07,3.96,83079,2.01
2024-05-08,4.08,4.01,4.13,3.99,81114,-1.47
2024-05-09,4.0,3.99,4.09,3.97,89050,-0.5
2024-05-10,3.99,3.92,4.03,3.91,78159,-1.75
2024-05-13,3.93,3.77,3.94,3.75,97493,-3.83
2024-05-14,3.78,3.81,3.86,3.78,73912,1.06
2024-05-15,3.81,3.84,3.9,3.75,76298,0.79
2024-05-16,3.85,3.83,3.92,3.81,77424,-0.26
2024-05-17,3.81,3.9,3.9,3.79,68068,1.83
2024-05-20,3.89,3.89,3.98,3.87,85068,-0.26
2024-05-21,3.88,3.84,3.9,3.82,56342,-1.29
2024-05-22,3.81,3.85,3.89,3.81,49014,0.26
2024-05-23,3.87,3.75,3.87,3.73,90065,-2.6
2024-05-24,3.73,3.71,3.78,3.7,53575,-1.07
2024-05-27,3.75,3.86,3.97,3.63,200654,4.04
2024-05-28,3.84,3.85,3.96,3.76,194669,-0.26
2024-05-29,3.84,3.8,3.87,3.77,95633,-1.3
2024-05-30,3.78,3.8,3.87,3.75,90396,0.0
2024-05-31,3.8,3.81,3.87,3.77,67538,0.26
2024-06-03,3.79,3.49,3.83,3.43,216681,-8.4
2024-06-04,3.47,3.41,3.5,3.33,142765,-2.29
2024-06-05,3.4,3.31,3.41,3.3,86143,-2.93
2024-06-06,3.31,3.13,3.36,3.09,154435,-5.44
2024-06-07,3.18,3.44,3.44,3.18,123697,9.9
2024-06-11,3.7,3.78,3.78,3.6,137687,9.88
2024-06-12,4.16,4.16,4.16,4.16,62234,10.05
2024-06-13,4.58,4.58,4.58,4.58,80144,10.1
2024-06-14,4.58,4.24,5.04,4.15,1256075,-7.42
2024-06-17,3.82,3.82,3.82,3.82,140304,-9.91
2024-06-18,3.7,3.9,3.99,3.61,895532,2.09
2024-06-19,3.84,3.74,3.93,3.7,655976,-4.1
2024-06-20,3.68,3.53,3.72,3.51,465449,-5.61
