date,open,close,high,low,vol,pct_chg
2025-11-06,18.86,18.92,19.4,18.29,678886.9,-2.77
2025-11-07,18.59,18.11,18.92,18.07,442653.05,-4.28
2025-11-10,18.0,18.35,18.48,17.72,399540.27,1.33
2025-11-11,18.13,18.64,18.87,17.73,418549.73,1.58
2025-11-12,18.32,18.42,19.07,18.1,326315.61,-1.18
2025-11-13,18.09,18.95,18.95,17.41,355622.95,2.88
2025-11-14,18.63,17.9,18.86,17.9,287850.13,-5.54
2025-11-17,17.88,19.69,19.69,17.88,343215.39,10.0
2025-11-18,21.66,21.66,21.66,21.66,84016.8,10.01
2025-11-19,23.83,23.83,23.83,23.83,53181.05,10.02
2025-11-20,25.5,22.5,26.21,22.0,1481972.55,-5.58
2025-11-21,22.0,24.02,24.75,22.0,1497281.26,6.76
2025-11-24,23.22,22.59,23.8,21.62,1243807.51,-5.95
2025-11-25,22.05,23.37,24.26,22.05,1060982.97,3.45
2025-11-26,23.37,23.2,25.51,23.15,1069635.36,-0.73
2025-11-27,23.5,24.34,25.25,23.29,997449.13,4.91
2025-11-28,23.95,24.3,24.83,22.99,793398.51,-0.16
2025-12-01,23.7,22.84,24.14,22.55,722443.21,-6.01
2025-12-02,22.88,23.0,23.56,22.07,668121.98,0.7
2025-12-03,22.58,20.7,22.7,20.7,668879.34,-10.0
2025-12-04,19.9,18.9,20.0,18.87,618075.41,-8.7
2025-12-05,18.85,19.22,19.41,18.61,431966.34,1.69
2025-12-08,19.41,19.58,19.85,19.15,370534.43,1.87
2025-12-09,19.36,18.96,19.47,18.89,357172.56,-3.17
2025-12-10,18.86,18.82,19.03,18.6,226151.83,-0.74
2025-12-11,18.9,18.4,18.93,18.24,219538.29,-2.23
2025-12-12,18.4,18.1,18.4,17.96,207403.27,-1.63
2025-12-15,17.85,17.85,18.05,17.74,148025.83,-1.38
2025-12-16,17.84,17.22,17.87,17.1,196979.39,-3.53
2025-12-17,17.2,17.4,17.44,17.0,166244.15,1.05
2025-12-18,17.27,17.25,17.55,17.09,136617.36,-0.86
2025-12-19,17.32,17.37,17.45,17.2,131528.0,0.7
2025-12-22,17.37,17.4,17.58,17.35,172519.18,0.17
2025-12-23,17.48,17.25,17.58,17.1,164597.26,-0.86
2025-12-24,17.23,17.45,17.49,17.16,140882.46,1.16
2025-12-25,17.4,17.62,17.75,17.37,166143.82,0.97
2025-12-26,17.65,17.92,18.11,17.51,293408.2,1.7
2025-12-29,17.93,17.69,17.96,17.61,174774.72,-1.28
2025-12-30,17.58,17.76,17.98,17.58,174744.37,0.4
2025-12-31,17.72,18.42,19.0,17.71,475915.45,3.72
2026-01-05,18.47,18.82,18.94,18.26,404768.07,2.17
2026-01-06,18.82,18.69,18.83,18.5,315817.86,-0.69
2026-01-07,18.6,18.55,18.88,18.49,241700.63,-0.75
2026-01-08,18.6,19.15,19.46,18.52,412400.04,3.23
2026-01-09,19.01,19.8,19.99,19.01,465448.05,3.39
2026-01-12,20.12,21.01,21.49,19.65,598911.54,6.11
2026-01-13,21.39,19.93,21.48,19.84,519045.06,-5.14
2026-01-14,19.88,20.18,20.84,19.88,579896.84,1.25
2026-01-15,20.28,19.81,20.45,19.52,328064.61,-1.83
2026-01-16,19.8,19.1,19.81,18.9,301208.21,-3.58
2026-01-19,18.95,18.88,19.1,18.68,172574.92,-1.15
2026-01-20,18.96,18.33,19.06,18.13,223490.12,-2.91
2026-01-21,18.21,18.4,18.7,18.14,145285.68,0.38
2026-01-22,18.44,18.79,18.97,18.44,191904.76,2.12
2026-01-23,18.79,18.78,18.89,18.56,182171.99,-0.05
2026-01-26,18.81,18.13,18.81,17.86,223321.57,-3.46
2026-01-27,18.13,18.06,18.3,17.62,137755.17,-0.39
2026-01-28,18.0,17.79,18.33,17.74,131028.37,-1.5
2026-01-29,17.8,17.6,18.31,17.34,188372.38,-1.07
2026-01-30,17.54,17.62,18.06,17.2,198073.85,0.11
2026-02-02,17.2,17.12,17.6,17.11,124418.02,-2.84
2026-02-03,17.3,17.49,17.52,17.22,111569.38,2.16
2026-02-04,17.4,17.25,17.46,17.12,90978.72,-1.37
2026-02-05,17.17,17.07,17.28,17.02,92875.6,-1.04
2026-02-06,17.0,17.0,17.19,16.87,81570.17,-0.41
2026-02-09,17.17,17.58,17.58,17.17,130946.36,3.41
2026-02-10,17.6,17.64,17.8,17.45,123236.0,0.34
2026-02-11,17.6,17.56,17.79,17.52,80588.0,-0.45
2026-02-12,17.59,17.67,17.81,17.41,104569.95,0.63
2026-02-13,17.57,17.93,18.16,17.52,173298.85,1.47
