date,open,close,high,low,vol,pct_chg
2025-11-06,11.31,11.18,11.33,11.15,207129.88,-1.67
2025-11-07,11.16,12.3,12.3,11.13,1204847.63,10.02
2025-11-10,12.53,12.61,12.86,12.12,1528304.83,2.52
2025-11-11,12.55,12.82,12.97,12.21,976308.8,1.67
2025-11-12,12.69,12.17,12.7,12.13,673935.58,-5.07
2025-11-13,12.35,12.41,12.62,11.95,620751.0,1.97
2025-11-14,12.17,11.96,12.42,11.95,446740.75,-3.63
2025-11-17,11.9,12.28,12.54,11.72,603016.66,2.68
2025-11-18,12.16,11.72,12.34,11.61,429858.13,-4.56
2025-11-19,11.63,11.74,12.25,11.62,299398.4,0.17
2025-11-20,11.97,12.01,12.5,11.85,507491.32,2.3
2025-11-21,11.68,10.91,11.69,10.83,508586.15,-9.16
2025-11-24,10.7,10.35,10.86,10.05,388240.32,-5.13
2025-11-25,10.36,10.44,10.68,10.21,267463.96,0.87
2025-11-26,10.48,10.25,10.56,10.25,221219.42,-1.82
2025-11-27,10.26,10.19,10.4,10.14,178950.58,-0.59
2025-11-28,10.13,10.22,10.24,10.11,147545.03,0.29
2025-12-01,10.22,10.34,10.39,10.2,149928.35,1.17
2025-12-02,10.3,10.19,10.33,10.16,138762.94,-1.45
2025-12-03,10.2,9.85,10.26,9.83,259675.06,-3.34
2025-12-04,9.82,9.88,9.89,9.68,159953.71,0.3
2025-12-05,9.86,9.91,9.91,9.7,135723.33,0.3
2025-12-08,9.87,9.99,10.05,9.87,129063.27,0.81
2025-12-09,10.0,10.19,10.43,9.95,244009.15,2.0
2025-12-10,10.13,10.0,10.13,9.92,146829.87,-1.86
2025-12-11,10.0,9.74,10.02,9.72,131384.74,-2.6
2025-12-12,9.66,9.82,9.82,9.66,82585.6,0.82
2025-12-15,9.82,9.76,9.97,9.73,93665.35,-0.61
2025-12-16,9.73,9.85,10.11,9.46,224900.61,0.92
2025-12-17,9.74,9.66,9.75,9.52,155405.13,-1.93
2025-12-18,9.65,9.79,10.1,9.59,237995.75,1.35
2025-12-19,9.68,9.83,9.88,9.68,138199.76,0.41
2025-12-22,9.86,9.95,10.06,9.86,142380.02,1.22
2025-12-23,9.94,9.82,10.04,9.8,123871.73,-1.31
2025-12-24,9.82,9.93,9.95,9.77,124133.58,1.12
2025-12-25,9.94,9.98,9.99,9.87,116862.74,0.5
2025-12-26,9.96,9.98,10.05,9.88,131970.13,0.0
2025-12-29,9.98,10.02,10.3,9.92,211318.32,0.4
2025-12-30,9.86,9.88,10.02,9.86,128463.3,-1.4
2025-12-31,9.9,9.93,9.99,9.72,161368.98,0.51
2026-01-05,9.93,10.13,10.13,9.91,224016.61,2.01
2026-01-06,10.14,10.39,10.48,10.13,307067.35,2.57
2026-01-07,10.35,10.17,10.41,10.15,263277.58,-2.12
2026-01-08,10.21,10.27,10.29,10.17,169276.57,0.98
2026-01-09,10.25,10.31,10.34,10.17,217627.2,0.39
2026-01-12,10.31,10.42,10.43,10.3,212083.95,1.07
2026-01-13,10.46,10.21,10.48,10.16,243915.0,-2.02
2026-01-14,10.2,10.29,10.41,10.16,258554.94,0.78
2026-01-15,10.35,10.38,10.68,10.26,348163.56,0.87
2026-01-16,10.36,10.23,10.45,10.1,232357.56,-1.45
2026-01-19,10.17,10.34,10.35,10.15,187523.35,1.08
2026-01-20,10.33,11.37,11.37,10.33,821590.2,9.96
2026-01-21,11.86,11.76,12.1,11.4,1527601.19,3.43
2026-01-22,11.39,12.1,12.42,11.39,1218142.43,2.89
2026-01-23,11.78,11.72,11.87,11.56,821492.55,-3.14
2026-01-26,11.5,11.98,12.38,11.41,934742.82,2.22
2026-01-27,11.69,11.53,11.96,11.29,610191.28,-3.76
2026-01-28,11.54,11.76,12.0,11.37,722750.57,1.99
2026-01-29,11.65,12.4,12.6,11.58,1171184.25,5.44
2026-01-30,12.38,13.12,13.49,12.1,1378534.47,5.81
2026-02-02,12.95,11.81,12.95,11.81,990632.89,-9.98
2026-02-03,11.41,12.35,12.58,11.41,906152.87,4.57
2026-02-04,12.11,11.83,12.58,11.7,708954.41,-4.21
2026-02-05,11.6,11.82,12.4,11.58,568534.22,-0.08
2026-02-06,11.51,11.62,11.97,11.04,615403.23,-1.69
2026-02-09,11.62,12.06,12.12,11.62,680205.34,3.79
2026-02-10,11.94,11.7,12.16,11.68,433452.82,-2.99
2026-02-11,11.6,11.93,12.19,11.4,621105.12,1.97
2026-02-12,11.57,11.37,11.85,11.35,577955.35,-4.69
2026-02-13,11.36,11.27,11.69,11.25,313510.76,-0.88
